tconst,ordering,nconst,category,job,characters
tt0514088,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514088,5,nm0537410,director,,
tt0514088,6,nm0250080,producer,producer,
tt0514088,7,nm0195997,composer,,
tt0514088,8,nm1557497,editor,,
tt0514088,9,nm0368579,editor,,
tt0514089,1,nm1075468,actor,,"[""Master Shake""]"
tt0514089,2,nm1052894,actor,,"[""Frylock""]"
tt0514089,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514089,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514089,5,nm0537410,director,,
tt0514089,6,nm0250080,producer,producer,
tt0514089,7,nm0195997,composer,,
tt0514089,8,nm1557497,editor,,
tt0514089,9,nm0368579,editor,,
tt0514090,1,nm1075468,actor,,"[""Master Shake""]"
tt0514090,2,nm1052894,actor,,"[""Frylock""]"
tt0514090,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514090,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514090,5,nm0537410,director,,
tt0514090,6,nm0250080,producer,producer,
tt0514090,7,nm0195997,composer,,
tt0514090,8,nm1557497,editor,,
tt0514090,9,nm0368579,editor,,
